category,Fraud_Count,Fraud_Rate,Total_Transactions
shopping_net,1713,1.7561485703740916,97543
misc_net,915,1.4457945549638946,63287
grocery_pos,1743,1.4097607531665022,123638
shopping_pos,843,0.7225383982446517,116672
gas_transport,618,0.4693944204346076,131659
misc_pos,250,0.31385349318937916,79655
grocery_net,134,0.29481650972454454,45452
travel,116,0.2863702569926186,40507
entertainment,233,0.24783542876592848,94014
personal_care,220,0.2424028735758831,90758
kids_pets,239,0.21143893484319018,113035
food_dining,151,0.1650976919123998,91461
home,198,0.16082524468992407,123115
health_fitness,133,0.15486905995645037,85879
