category,Fraud_Count,Total_Trans,Fraud_Rate_Pct,Avg_Amt,Fraud_Share_Pct
grocery_pos,1743,123638,1.41,116.96098594283312,23.22
shopping_net,1713,97543,1.76,88.4240763560686,22.82
misc_net,915,63287,1.45,80.8650948852055,12.19
shopping_pos,843,116672,0.72,79.77915532432803,11.23
gas_transport,618,131659,0.47,63.434571810510484,8.23
misc_pos,250,79655,0.31,62.890998681815326,3.33
kids_pets,239,113035,0.21,57.536870526827975,3.18
entertainment,233,94014,0.25,64.21042142659603,3.1
personal_care,220,90758,0.24,47.96767811102052,2.93
home,198,123115,0.16,58.27013856963002,2.64
food_dining,151,91461,0.17,51.08690523829829,2.01
grocery_net,134,45452,0.29,53.67008448473115,1.79
health_fitness,133,85879,0.15,54.18214022054285,1.77
travel,116,40507,0.29,111.50471967808032,1.55
