state,Fraud_Count,Total_Trans,Fraud_Rate_Pct
NY,555,83501,0.6647
TX,479,94876,0.5049
PA,458,79847,0.5736
CA,326,56360,0.5784
OH,321,46480,0.6906
FL,281,42671,0.6585
IL,248,43252,0.5734
MI,238,46154,0.5157
AL,215,40989,0.5245
MN,207,31714,0.6527
VA,198,29250,0.6769
SC,193,29190,0.6612
MO,191,38403,0.4974
NE,180,24168,0.7448
WI,163,29368,0.555
AR,161,31127,0.5172
MD,157,26193,0.5994
KS,156,22996,0.6784
KY,155,28475,0.5443
NC,149,30266,0.4923
OR,149,18597,0.8012
WV,146,25691,0.5683
GA,146,26063,0.5602
OK,143,26671,0.5362
IA,142,26985,0.5262
IN,142,27580,0.5149
TN,140,17554,0.7975
ME,119,16505,0.721
NJ,118,24603,0.4796
MS,115,21188,0.5428
CO,113,13880,0.8141
WY,110,19322,0.5693
WA,96,18924,0.5073
LA,91,20965,0.4341
NM,82,16407,0.4998
SD,74,12324,0.6005
VT,72,11768,0.6118
MA,69,12376,0.5575
UT,61,10699,0.5701
NH,59,8278,0.7127
ND,57,14786,0.3855
NV,47,5607,0.8382
AZ,37,10770,0.3435
AK,36,2120,1.6981
MT,32,11754,0.2722
DC,21,3613,0.5812
CT,16,7702,0.2077
RI,15,550,2.7273
ID,11,5545,0.1984
DE,9,9,100.0
HI,7,2559,0.2735
